iter	Passed	Remaining
0	162	162038
1	164	82084
2	166	55307
3	168	41883
4	170	33837
5	174	28948
6	176	25041
7	178	22130
8	179	19810
9	181	17950
10	182	16420
11	183	15144
12	185	14098
13	187	13235
14	189	12444
15	191	11752
16	192	11129
17	193	10570
18	195	10074
19	196	9631
20	198	9233
21	199	8873
22	201	8554
23	202	8252
24	204	7969
25	205	7707
26	206	7459
27	208	7248
28	210	7041
29	211	6847
30	213	6670
31	214	6502
32	217	6360
33	218	6211
34	220	6079
35	221	5938
36	222	5803
37	224	5674
38	225	5552
39	226	5436
40	227	5327
41	229	5228
42	231	5153
43	233	5066
44	234	4986
45	236	4902
46	237	4820
47	239	4742
48	240	4663
49	241	4588
50	243	4521
51	244	4462
52	246	4403
53	248	4348
54	249	4288
55	250	4230
56	252	4175
57	253	4118
58	254	4064
59	256	4012
60	258	3974
61	260	3933
62	261	3896
63	263	3852
64	264	3806
65	265	3762
66	267	3718
67	268	3676
68	269	3637
69	270	3598
70	272	3562
71	273	3529
72	275	3494
73	277	3466
74	278	3432
75	279	3399
76	280	3366
77	282	3333
78	283	3301
79	284	3271
80	285	3241
81	286	3212
82	287	3177
83	288	3149
84	290	3121
85	291	3094
86	292	3067
87	293	3041
88	294	3015
89	295	2990
90	296	2965
91	298	2941
92	299	2917
93	300	2894
94	301	2874
95	303	2859
96	304	2838
97	306	2821
98	307	2800
99	308	2780
100	310	2759
101	311	2739
102	312	2720
103	313	2700
104	314	2682
105	315	2664
106	318	2657
107	319	2642
108	321	2629
109	323	2613
110	324	2597
111	325	2580
112	326	2563
113	327	2546
114	328	2530
115	330	2515
116	331	2502
117	332	2488
118	334	2476
119	335	2460
120	336	2445
121	337	2428
122	338	2414
123	339	2400
124	340	2385
125	341	2370
126	342	2354
127	343	2341
128	345	2331
129	346	2318
130	348	2308
131	349	2295
132	350	2283
133	351	2269
134	352	2257
135	353	2244
136	354	2232
137	355	2220
138	356	2208
139	357	2197
140	359	2187
141	360	2177
142	361	2167
143	363	2160
144	364	2149
145	365	2138
146	366	2128
147	367	2117
148	368	2106
149	369	2096
150	371	2086
151	372	2076
152	373	2067
153	374	2057
154	375	2046
155	376	2037
156	377	2027
157	378	2017
158	379	2007
159	380	1998
160	381	1986
161	382	1977
162	383	1968
163	384	1959
164	385	1951
165	386	1943
166	388	1936
167	389	1930
168	391	1923
169	392	1915
170	393	1907
171	394	1899
172	395	1891
173	396	1883
174	397	1874
175	398	1866
176	399	1859
177	400	1851
178	402	1845
179	403	1838
180	405	1833
181	406	1826
182	407	1819
183	408	1811
184	409	1804
185	410	1797
186	411	1789
187	412	1782
188	413	1775
189	414	1767
190	415	1761
191	417	1756
192	418	1751
193	420	1745
194	421	1738
195	422	1732
196	423	1725
197	424	1719
198	425	1712
199	426	1705
200	427	1699
201	428	1693
202	429	1687
203	431	1682
204	432	1677
205	433	1672
206	435	1666
207	436	1660
208	437	1654
209	438	1648
210	439	1642
211	440	1636
212	441	1630
213	442	1624
214	443	1619
215	444	1613
216	446	1610
217	447	1606
218	449	1601
219	450	1595
220	451	1590
221	452	1584
222	453	1579
223	454	1573
224	455	1568
225	456	1562
226	457	1557
227	458	1552
228	459	1547
229	460	1542
230	461	1537
231	463	1532
232	464	1527
233	465	1522
234	466	1517
235	467	1512
236	468	1507
237	469	1502
238	470	1496
239	471	1491
240	472	1487
241	473	1483
242	475	1480
243	476	1475
244	477	1472
245	478	1467
246	480	1463
247	481	1458
248	482	1454
249	483	1449
250	484	1444
251	485	1440
252	486	1436
253	487	1432
254	489	1429
255	490	1425
256	492	1422
257	493	1418
258	494	1414
259	495	1409
260	496	1405
261	497	1400
262	498	1396
263	499	1392
264	500	1388
265	501	1385
266	503	1381
267	504	1377
268	505	1374
269	507	1370
270	508	1366
271	509	1362
272	510	1358
273	511	1354
274	512	1350
275	513	1346
276	514	1342
277	515	1338
278	516	1335
279	518	1332
280	519	1329
281	520	1326
282	522	1322
283	522	1318
284	523	1314
285	525	1310
286	525	1306
287	527	1303
288	528	1299
289	529	1295
290	530	1293
291	532	1290
292	533	1286
293	534	1284
294	535	1280
295	537	1277
296	538	1273
297	539	1270
298	540	1266
299	541	1263
300	542	1259
301	543	1256
302	544	1253
303	545	1250
304	546	1246
305	548	1242
306	549	1239
307	550	1235
308	551	1232
309	552	1228
310	553	1225
311	554	1221
312	555	1218
313	556	1214
314	557	1211
315	558	1208
316	559	1205
317	561	1203
318	562	1200
319	563	1198
320	564	1194
321	565	1191
322	566	1188
323	568	1185
324	569	1181
325	570	1178
326	571	1176
327	572	1173
328	574	1171
329	576	1170
330	578	1168
331	579	1166
332	581	1164
333	582	1161
334	583	1158
335	584	1155
336	586	1153
337	587	1151
338	589	1148
339	590	1146
340	592	1144
341	593	1141
342	594	1138
343	595	1135
344	596	1132
345	597	1129
346	598	1125
347	599	1122
348	600	1120
349	602	1119
350	603	1116
351	605	1114
352	606	1111
353	607	1108
354	608	1105
355	609	1102
356	610	1099
357	611	1096
358	612	1093
359	613	1090
360	614	1088
361	615	1085
362	617	1083
363	618	1080
364	619	1078
365	621	1075
366	622	1073
367	623	1070
368	624	1067
369	625	1064
370	626	1062
371	627	1059
372	628	1056
373	629	1054
374	631	1051
375	632	1049
376	633	1046
377	634	1043
378	635	1040
379	636	1037
380	637	1035
381	638	1032
382	639	1029
383	640	1027
384	641	1024
385	642	1021
386	643	1019
387	644	1017
388	646	1015
389	647	1012
390	648	1010
391	649	1008
392	650	1005
393	652	1002
394	653	1000
395	654	997
396	655	994
397	656	992
398	658	992
399	660	990
400	661	988
401	663	986
402	664	984
403	665	981
404	666	979
405	667	976
406	668	973
407	669	971
408	670	968
409	671	966
410	672	964
411	674	962
412	675	959
413	676	957
414	677	955
415	678	953
416	679	950
417	681	948
418	682	945
419	683	943
420	684	940
421	685	938
422	686	936
423	687	934
424	689	932
425	690	930
426	691	928
427	693	926
428	694	923
429	695	921
430	696	919
431	697	916
432	698	914
433	699	911
434	700	909
435	701	907
436	702	905
437	703	903
438	705	901
439	706	899
440	707	896
441	708	894
442	709	892
443	710	889
444	711	887
445	712	885
446	713	883
447	714	880
448	716	878
449	717	876
450	718	874
451	719	872
452	720	870
453	721	868
454	722	865
455	723	863
456	724	861
457	725	858
458	726	856
459	727	854
460	729	852
461	730	850
462	732	849
463	733	847
464	735	845
465	736	843
466	737	841
467	738	839
468	739	836
469	740	834
470	741	832
471	742	830
472	743	828
473	744	826
474	745	823
475	747	822
476	748	820
477	749	818
478	750	816
479	751	814
480	752	812
481	753	810
482	754	808
483	755	805
484	756	803
485	758	801
486	759	799
487	760	797
488	761	795
489	763	794
490	764	792
491	765	790
492	766	788
493	767	786
494	768	784
495	769	781
496	770	779
497	771	777
498	772	775
499	773	773
500	775	772
501	776	770
502	778	768
503	779	766
504	780	764
505	781	762
506	782	760
507	783	758
508	784	756
509	785	754
510	786	752
511	787	750
512	788	748
513	789	746
514	791	745
515	792	743
516	793	741
517	794	739
518	795	737
519	796	735
520	797	733
521	798	731
522	799	729
523	800	727
524	801	725
525	803	723
526	804	721
527	805	719
528	806	717
529	807	716
530	808	714
531	809	712
532	810	710
533	811	708
534	812	706
535	813	704
536	814	702
537	816	701
538	818	699
539	819	698
540	820	696
541	822	694
542	823	692
543	824	690
544	824	688
545	825	686
546	827	685
547	828	683
548	829	681
549	831	680
550	832	678
551	833	676
552	835	675
553	836	673
554	837	671
555	838	669
556	839	667
557	840	665
558	841	664
559	842	662
560	843	660
561	845	658
562	846	657
563	847	655
564	849	653
565	850	652
566	851	650
567	852	648
568	853	646
569	854	644
570	855	642
571	856	641
572	857	639
573	858	637
574	860	635
575	861	634
576	862	632
577	864	630
578	865	629
579	866	627
580	867	625
581	868	623
582	869	621
583	870	619
584	871	618
585	872	616
586	873	614
587	875	613
588	876	611
589	877	610
590	879	608
591	880	606
592	881	604
593	882	602
594	883	601
595	884	599
596	885	597
597	886	595
598	887	594
599	888	592
600	889	590
601	891	589
602	892	587
603	893	585
604	894	583
605	895	581
606	896	580
607	897	578
608	898	576
609	899	574
610	900	573
611	901	571
612	902	569
613	903	568
614	904	566
615	906	565
616	907	563
617	908	561
618	909	560
619	910	558
620	912	556
621	913	554
622	914	553
623	915	551
624	916	549
625	918	548
626	919	546
627	920	545
628	922	543
629	923	542
630	924	540
631	925	538
632	926	536
633	927	535
634	928	533
635	929	531
636	930	530
637	932	529
638	934	527
639	935	526
640	937	524
641	938	523
642	940	521
643	941	520
644	942	518
645	943	517
646	946	516
647	948	515
648	949	513
649	950	511
650	951	510
651	952	508
652	953	506
653	954	505
654	956	503
655	957	501
656	958	500
657	961	499
658	963	498
659	964	496
660	966	495
661	967	493
662	968	492
663	969	490
664	970	488
665	971	487
666	972	485
667	973	483
668	974	482
669	975	480
670	976	479
671	977	477
672	978	475
673	980	474
674	981	472
675	982	470
676	982	468
677	984	467
678	985	465
679	986	464
680	987	462
681	987	460
682	989	459
683	991	457
684	992	456
685	993	454
686	994	453
687	995	451
688	996	449
689	997	448
690	998	446
691	999	445
692	1000	443
693	1001	441
694	1003	440
695	1004	438
696	1005	437
697	1007	435
698	1008	434
699	1009	432
700	1010	431
701	1011	429
702	1013	428
703	1014	426
704	1015	424
705	1016	423
706	1017	421
707	1018	420
708	1019	418
709	1021	417
710	1022	415
711	1023	414
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1028	406
717	1029	404
718	1031	403
719	1032	401
720	1034	400
721	1036	398
722	1037	397
723	1038	395
724	1039	394
725	1040	392
726	1041	391
727	1042	389
728	1043	387
729	1044	386
730	1045	384
731	1046	383
732	1048	381
733	1049	380
734	1050	378
735	1051	377
736	1053	375
737	1054	374
738	1055	372
739	1056	371
740	1057	369
741	1058	367
742	1059	366
743	1060	364
744	1061	363
745	1062	361
746	1063	360
747	1064	358
748	1065	357
749	1066	355
750	1067	354
751	1068	352
752	1069	350
753	1070	349
754	1071	347
755	1072	346
756	1073	344
757	1074	343
758	1076	341
759	1078	340
760	1079	339
761	1080	337
762	1081	336
763	1082	334
764	1083	332
765	1084	331
766	1085	329
767	1086	328
768	1088	326
769	1089	325
770	1090	323
771	1091	322
772	1092	320
773	1094	319
774	1096	318
775	1097	316
776	1098	315
777	1099	313
778	1100	312
779	1101	310
780	1102	309
781	1104	307
782	1106	306
783	1107	305
784	1109	303
785	1110	302
786	1111	300
787	1112	299
788	1113	297
789	1114	296
790	1115	294
791	1116	293
792	1117	291
793	1118	290
794	1119	288
795	1121	287
796	1122	285
797	1123	284
798	1124	282
799	1125	281
800	1127	280
801	1128	278
802	1129	277
803	1130	275
804	1131	274
805	1132	272
806	1134	271
807	1135	269
808	1136	268
809	1137	266
810	1138	265
811	1139	263
812	1140	262
813	1142	260
814	1142	259
815	1143	257
816	1145	256
817	1146	255
818	1147	253
819	1148	252
820	1149	250
821	1150	249
822	1151	247
823	1152	246
824	1153	244
825	1154	243
826	1155	241
827	1156	240
828	1157	238
829	1158	237
830	1159	235
831	1160	234
832	1162	233
833	1163	231
834	1165	230
835	1166	228
836	1167	227
837	1168	225
838	1169	224
839	1170	222
840	1171	221
841	1172	220
842	1173	218
843	1174	217
844	1175	215
845	1177	214
846	1178	212
847	1179	211
848	1180	210
849	1182	208
850	1183	207
851	1184	205
852	1185	204
853	1186	202
854	1187	201
855	1188	199
856	1189	198
857	1190	197
858	1191	195
859	1193	194
860	1194	192
861	1196	191
862	1197	190
863	1198	188
864	1199	187
865	1200	185
866	1201	184
867	1202	182
868	1203	181
869	1205	180
870	1206	178
871	1207	177
872	1209	175
873	1210	174
874	1211	173
875	1212	171
876	1213	170
877	1215	168
878	1216	167
879	1217	166
880	1218	164
881	1220	163
882	1221	161
883	1222	160
884	1223	159
885	1224	157
886	1226	156
887	1227	154
888	1228	153
889	1229	151
890	1230	150
891	1231	149
892	1232	147
893	1233	146
894	1234	144
895	1235	143
896	1236	141
897	1237	140
898	1238	139
899	1239	137
900	1240	136
901	1241	134
902	1242	133
903	1243	132
904	1244	130
905	1245	129
906	1247	127
907	1249	126
908	1250	125
909	1251	123
910	1252	122
911	1254	121
912	1255	119
